,page,link,title,Article,parsed_link,Summary
25,25,https://www.soti.net/mc/help/v14.0/en/setup/uninstalling/uninstalling_agents_android.html,Uninstalling the Device Agent From an Android Device,"To remove the SOTI MobiControl device agent from your Android device: On your Android device, open the Settings app and find Device Administrators (generally under the Security menu). Select SOTI MobiControl and deactivate it. Navigate to the Apps menu to uninstall the SOTI MobiControl device agent. Parent topic: © 2019 Email: © 2019 Email:",setup uninstalling uninstalling agents android,Uninstalling the Device Agent From an Android Device setup uninstalling uninstalling agents android
26,26,https://www.soti.net/mc/help/v14.0/en/setup/uninstalling/uninstalling_agents_ios.html,Uninstalling the Device Agent From an iOS Device,"To remove the SOTI MobiControl device agent from your iOS device: On your iOS device, tap and hold the SOTI MobiControl app icon until it shakes. Tap the x that appears at the top of the app icon. Open the Settings app and select the General tab. Scroll to the bottom of the General section and select Profiles . Remove all profiles associated with SOTI MobiControl . Parent topic: © 2019 Email: © 2019 Email:",setup uninstalling uninstalling agents ios,Uninstalling the Device Agent From an iOS Device setup uninstalling uninstalling agents ios
27,27,https://www.soti.net/mc/help/v14.0/en/setup/uninstalling/uninstalling_agents_linux.html,Uninstalling the Device Agent From a Linux Device,"To remove the SOTI MobiControl device agent from your Linux device: On your Linux device, open a command prompt and navigate to installer folder of the device agent. Run sh uninstall.sh . Parent topic: © 2019 Email: © 2019 Email:",setup uninstalling uninstalling agents linux,Uninstalling the Device Agent From a Linux Device setup uninstalling uninstalling agents linux
28,28,https://www.soti.net/mc/help/v14.0/en/setup/uninstalling/uninstalling_agents_windowsmobile.html,Uninstalling the Device Agent From a Windows Mobile/CE Device,"To remove the SOTI MobiControl device agent from your Windows Mobile or CE device: On your Windows Mobile/CE device, open the Start menu and select Settings . Click on the System tab and go to Remove Programs . Select SOTI MobiControl from the list of applications and click Remove . To ensure the device can be easily re-enrolled in SOTI MobiControl , the uninstaller for the SOTI MobiControl device agent does not remove all installed files from the device. If you want to completely remove the SOTI MobiControl agent from the device, complete the rest of the steps, otherwise, you have successfully uninstalled the SOTI MobiControl device agent. In the persistent storage folder (set during installation), remove the pdb.ini file and the PdbPkg folder. In the root directory of the device, remove the PkInst.log and PkCtrlSv.log files and the PdbInfo folder. Parent topic: © 2019 Email: © 2019 Email:",setup uninstalling uninstalling agents windowsmobile,Uninstalling the Device Agent From a Windows Mobile/CE Device setup uninstalling uninstalling agents windowsmobile
29,29,https://www.soti.net/mc/help/v14.0/en/setup/reference/reference.html,Setup Reference,This help section provides reference information regarding the various tasks associated with setting up and configuring SOTI MobiControl . Parent topic: © 2019 Email: © 2019 Email:,setup reference reference,Setup Reference setup reference reference
30,30,https://www.soti.net/mc/help/v14.0/en/setup/reference/dialogs/dialogs.html,Dialog Boxes and Wizards,This help section provides information about the fields and controls in SOTI MobiControl installation and set up processes. Parent topic: © 2019 Email: © 2019 Email:,setup reference dialogs dialogs,Dialog Boxes and Wizards setup reference dialogs dialogs
31,31,https://www.soti.net/mc/help/v14.0/en/setup/reference/dialogs/installation_wizard/installation_wizard.html,SOTI MobiControl Installation Wizard,Installation Wizard This help section provides information about the fields and controls in the SOTI MobiControl installation wizard. Parent topic: Related tasks © 2019 Email: © 2019 Email:,setup reference dialogs installation wizard installation wizard,SOTI MobiControl Installation Wizard setup reference dialogs installation wizard installation wizard
32,32,https://www.soti.net/mc/help/v14.0/en/setup/reference/dialogs/installation_wizard/welcome.html,Welcome,Select your setup language to begin the SOTI MobiControl setup wizard starts. Ensure your environment conforms to the for installing SOTI MobiControl . Parent topic: © 2019 Email: © 2019 Email:,setup reference dialogs installation wizard welcome,Welcome setup reference dialogs installation wizard welcome
33,33,https://www.soti.net/mc/help/v14.0/en/setup/reference/dialogs/installation_wizard/license.html,License Agreement,The SOTI MobiControl license agreement establishes terms for the acceptable use of the SOTI MobiControl software. The installation cannot proceed until you accept the license agreement. Print Click to print a copy of the license agreement I accept the terms of the license agreement Select this radio button to accept the SOTI MobiControl license agreement and proceed with the installation I do not accept the terms of the license agreement Select this radio button to decline the SOTI MobiControl license agreement and cancel the installation Parent topic: © 2019 Email: Print Click to print a copy of the license agreement I accept the terms of the license agreement Select this radio button to accept the SOTI MobiControl license agreement and proceed with the installation I do not accept the terms of the license agreement Select this radio button to decline the SOTI MobiControl license agreement and cancel the installation © 2019 Email:,setup reference dialogs installation wizard license,License Agreement setup reference dialogs installation wizard license
34,34,https://www.soti.net/mc/help/v14.0/en/setup/reference/dialogs/installation_wizard/components.html,Features,"This wizard panel lists the SOTI MobiControl components that can be installed. If a feature is not selected, it will not be installed. Warning: If you are upgrading from a previous version of SOTI MobiControl and one of the component options is not selected, the installer will remove that component from your SOTI MobiControl deployment. Microsoft SQL Server 2014 Express A free and lightweight database software for storing device information. If you already have a supported database available, you can deselect this option. Note: This option may not be visible if the SOTI MobiControl installer detects another database already on the computer. SOTI MobiControl Web Console The main interface for managing your devices. It is mandatory for configuring security and managing access to SOTI MobiControl . SOTI MobiControl Deployment Server The core component of SOTI MobiControl , it communicates with devices for enrollment, provisioning, and management purposes. Browse Select the installation location for SOTI MobiControl . The default destination folder is C:\Program Files\SOTI\MobiCOntrol . Parent topic: © 2019 Email: Microsoft SQL Server 2014 Express A free and lightweight database software for storing device information. If you already have a supported database available, you can deselect this option. Note: This option may not be visible if the SOTI MobiControl installer detects another database already on the computer. SOTI MobiControl Web Console The main interface for managing your devices. It is mandatory for configuring security and managing access to SOTI MobiControl . SOTI MobiControl Deployment Server The core component of SOTI MobiControl , it communicates with devices for enrollment, provisioning, and management purposes. Browse Select the installation location for SOTI MobiControl . The default destination folder is C:\Program Files\SOTI\MobiCOntrol . © 2019 Email:",setup reference dialogs installation wizard components,Features setup reference dialogs installation wizard components
35,35,https://www.soti.net/mc/help/v14.0/en/setup/reference/dialogs/installation_wizard/database_connection.html,Database Connection,"If the SOTI MobiControl installer detected a database or you did not opt to install Microsoft SQL Server 2014 Express, this panel prompts you to connect to the database that you want to use with SOTI MobiControl . Note: Ensure the TCP/IP network protocol is enabled in your SQL Server network configuration. Server Use the drop-down to select the location of the database on a computer on the network. You can also type in the network location of the database. Note: If your server is configured to listen to a port other than the default (1433), include the port number. For example: SERVER,01234\SQLSERVER . Connect using Select your authentication method: Windows Authentication SQL Server Authentication Username Enter the username for the account that SOTI MobiControl will use to access the database. The account must have read/write permissions. Password Enter the password for the account that SOTI MobiControl will use to access the database. Database Name Enter the name of the database. Auto Detect Click this button to retrieve the database name automatically using the provided information to attempt a connection. Once you have entered the information and clicked Next , the SOTI MobiControl installer will attempt to connect to the database using the provided information. If successful, the installer will continue to the next step. Parent topic: © 2019 Email: Server Use the drop-down to select the location of the database on a computer on the network. You can also type in the network location of the database. Note: If your server is configured to listen to a port other than the default (1433), include the port number. For example: SERVER,01234\SQLSERVER . Connect using Select your authentication method: Windows Authentication SQL Server Authentication Username Enter the username for the account that SOTI MobiControl will use to access the database. The account must have read/write permissions. Password Enter the password for the account that SOTI MobiControl will use to access the database. Database Name Enter the name of the database. Auto Detect Click this button to retrieve the database name automatically using the provided information to attempt a connection. © 2019 Email:",setup reference dialogs installation wizard database connection,Database Connection setup reference dialogs installation wizard database connection
